person,analysed_phon_form,paradigm_tag,variants_tag
FUT.AFF,,,
1SG,k ee j + Σ + r a ŋ,default,
1PL,n ee j + Σ + r a ŋ,default,
2SG,n ee j + Σ + r a ŋ,default,
2PL,n ee j + Σ + u + r a ŋ,default,
3SG,ee j + Σ + r a ŋ,default,
3PL,ee j + Σ + u + r a ŋ,default,
FUT.NEG,,,
1SG,Σ + n o + n i + ŋ,default,
1PL,Σ + n o + m a + n i,default,
2SG,Σ + n o + t a + n i,default,
2PL,Σ + u + n o + t a + n i,default,
3SG,Σ + n o + n i,default,
3PL,Σ + u + n o + n i,default,
NFUT.AFF,,,
1SG,k a + Σ,default,
1PL,n a + Σ,default,
2SG,n a + Σ,default,
2PL,n a + Σ + u,default,
3SG,a + Σ,default,
3PL,a + Σ + u,default,
NFUT.NEG,,,
1SG,Σ + m a k + i ŋ,default,dialect_var
1SG,Σ + m a k + u ŋ,default,
1PL,Σ + m a k + m e,default,
2SG,Σ + m a k + ts e,default,
2PL,Σ + u + m a k + ts e,default,
3SG,Σ + m a k,default,
3PL,Σ + u + m a k,default,
